Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL5,VGG-16-A,84,0.209828839,0.924773932,0.324581772,0.881260097,,
MODEL5,VGG-16-A,85,0.213680863,0.925135612,0.402564317,0.836833596,,
MODEL5,VGG-16-A,86,0.210816532,0.932007253,0.430324912,0.823909521,,
MODEL5,VGG-16-A,87,0.204451993,0.928267062,0.393718541,0.84168011,,
MODEL5,VGG-16-A,88,0.214781582,0.922603965,0.348484844,0.862681746,,
MODEL5,VGG-16-A,89,0.2127195,0.930560589,0.363196343,0.865912735,,
MODEL5,VGG-16-A,90,0.199888706,0.933453918,0.367297918,0.852180958,,
MODEL5,VGG-16-A,91,0.205152407,0.930198908,0.412471414,0.831179321,,
MODEL5,VGG-16-A,92,0.207845524,0.931283891,0.429348052,0.824717283,,
MODEL5,VGG-16-A,93,0.203838378,0.930560589,0.372234762,0.850565434,,
MODEL5,VGG-16-A,94,0.210198104,0.930198908,0.348782152,0.869951546,,
MODEL5,VGG-16-A,95,0.193091676,0.936347187,0.374122292,0.85298872,,
MODEL5,VGG-16-A,96,0.194006398,0.93092227,0.325781077,0.878029108,,
MODEL5,VGG-16-A,97,0.211648375,0.922965646,0.33627668,0.877221346,,
MODEL5,VGG-16-A,98,0.211703867,0.926220596,0.398089617,0.835218072,,
MODEL5,VGG-16-A,99,0.194003582,0.937793851,0.352638811,0.859450698,,
MODEL6,VGG-16-B,0,0.879090786,0.643399656,0.649243355,0.741319418,,
MODEL6,VGG-16-B,1,0.59343034,0.806871593,0.527150571,0.767361104,,
MODEL6,VGG-16-B,2,0.514046967,0.830018103,0.536195457,0.743055582,,
MODEL6,VGG-16-B,3,0.447014332,0.851356268,0.520758152,0.749131918,,
MODEL6,VGG-16-B,4,0.416238576,0.860440314,0.489165157,0.763888896,,
MODEL6,VGG-16-B,5,0.400077492,0.858951151,0.479239464,0.783854187,,
MODEL6,VGG-16-B,6,0.374251783,0.870886087,0.450561851,0.796006918,,
